Name,World,DisplayName,LocationUU,Prompt,Behaviour,Secret,RepeatBehaviour,RequiresTwoPlayers
pet_sanctuary__The_Adoption_Sign,pet_sanctuary,The Adoption Sign,600.0|200.0|100.0,Read,"Explains the companion system. One pet per trailer, more with expansions.",,,false
pet_sanctuary__Feed_Bin,pet_sanctuary,Feed Bin,-600.0|-200.0|60.0,Fill bowl,Feeding another player's pet raises both of your reputations.,,,true
pet_sanctuary__The_Stream,pet_sanctuary,The Stream,2000.0|-0.0|0.0,Follow,Leads out of the sanctuary and does not come back.,,,false
pet_sanctuary__Carved_Bench,pet_sanctuary,Carved Bench,-1000.0|-800.0|50.0,Sit,Names carved into it. All of them are players who have been here.,,,false
pet_sanctuary__The_Lantern_Path,pet_sanctuary,The Lantern Path,400.0|1000.0|80.0,Light,Light every lantern on the path and something arrives at the cottage.,It only works at the sanctuary's dusk.,,false
pet_sanctuary__Companion_Drone_Nest,pet_sanctuary,Companion Drone Nest,1200.0|-1200.0|120.0,Approach,Where the shoulder drone from the portal-network art is met.,,,false
bio_metropolis__The_World_Tree_Lift,bio_metropolis,The World-Tree Lift,0.0|-1000.0|200.0,Ride,A living lift. It asks where you are going and sometimes disagrees.,,,false
bio_metropolis__Root_Market,bio_metropolis,Root Market,-1400.0|-1600.0|120.0,Browse,Shop stalls grown into the roots (Part II 38).,,,true
bio_metropolis__Grafting_Bench,bio_metropolis,Grafting Bench,1000.0|1200.0|100.0,Graft,Combines two Organic weapons into one. Results are not always predictable.,,,false
bio_metropolis__The_Pollen_Tram,bio_metropolis,The Pollen Tram,2400.0|-600.0|300.0,Board,"Traverses the canopy on a schedule the city sets, not you.",,,false
bio_metropolis__Hive_Council,bio_metropolis,Hive Council,-2200.0|1800.0|200.0,Petition,NPC faction. They remember every interaction (GDD 18).,,,false
bio_metropolis__The_Wound,bio_metropolis,The Wound,3200.0|-2200.0|600.0,Treat,A cut in the world-tree. Healing it changes the district's layout.,,,true
bio_metropolis__Sap_Vault,bio_metropolis,Sap Vault,-3000.0|-1000.0|150.0,Open,Rare crafting materials behind a puzzle of growth cycles.,,,false
bio_metropolis__Seedpod_Elevator_Shaft,bio_metropolis,Seedpod Elevator Shaft,1600.0|3000.0|100.0,Enter,Drops you to the roots. Coming back up is a separate problem.,,,false
bio_metropolis__The_Key_of_Roots,bio_metropolis,The Key of Roots,-4000.0|3400.0|800.0,Take,One of three keys the CORE accepts (Part II 47).,Only forms after the Wound is healed.,,false
bio_metropolis__Canopy_Bridge,bio_metropolis,Canopy Bridge,0.0|-4000.0|2600.0,Cross,"Grows across as you walk, retracts behind you.",,,false
plasma_strait__The_Storm_Anchor,plasma_strait,The Storm Anchor,0.0|-1200.0|300.0,Deploy,Calms the lightning in a radius for ninety seconds. Everyone benefits.,,,true
plasma_strait__Charged_Wreck,plasma_strait,Charged Wreck,-1600.0|-800.0|200.0,Ground it,Safe to loot only once the charge is bled off.,,,false
plasma_strait__Lightning_Harp,plasma_strait,Lightning Harp,1400.0|1000.0|500.0,Play,Strikes tune themselves to what you play. Risky and worth it.,,,false
plasma_strait__Salvage_Crane,plasma_strait,Salvage Crane,2600.0|-1800.0|800.0,Operate,"One player drives, one player spots.",,,true
plasma_strait__The_Barometer,plasma_strait,The Barometer,-2400.0|1400.0|150.0,Read,Predicts the next storm surge accurately. Nobody trusts it.,,,false
plasma_strait__Sound_Cannon_Wreck,plasma_strait,Sound Cannon Wreck,3400.0|2600.0|200.0,Salvage,Yields the Sound Cannon (Absurd class).,,,false
plasma_strait__Faraday_Chapel,plasma_strait,Faraday Chapel,-3400.0|-2200.0|300.0,Shelter,The only guaranteed-safe structure. Fits four.,,,false
plasma_strait__The_Strait_Crossing,plasma_strait,The Strait Crossing,0.0|3800.0|100.0,Cross,Passable for eleven seconds after each surge.,,,false
plasma_strait__The_Key_of_Storms,plasma_strait,The Key of Storms,4200.0|-3600.0|600.0,Take,Second of the three CORE keys.,"Must be taken during a surge, not between them.",,false
plasma_strait__Wreck_of_the_Ferry,plasma_strait,Wreck of the Ferry,-4400.0|400.0|400.0,Search,Passenger manifest. Some of the names are player names.,,,true
ruins_labyrinth__The_Threshold_Stone,ruins_labyrinth,The Threshold Stone,0.0|6000.0|100.0,Read,Names everyone currently inside the maze.,,,true
ruins_labyrinth__Moss_Map,ruins_labyrinth,Moss Map,-800.0|4800.0|140.0,Read,The moss grows in the shape of the maze. It is out of date.,,,false
ruins_labyrinth__Wall_That_Listens,ruins_labyrinth,Wall That Listens,1200.0|3000.0|300.0,Speak,Say the right word and it steps aside. The word is elsewhere in the maze.,,,false
ruins_labyrinth__The_Torch_Line,ruins_labyrinth,The Torch Line,-1400.0|1400.0|200.0,Light,Lit torches persist for other players for an hour.,,,true
ruins_labyrinth__Offering_Bowl,ruins_labyrinth,Offering Bowl,0.0|-0.0|100.0,Offer,Give up an item; the maze simplifies for you. Give up an artifact; it opens.,,,false
ruins_labyrinth__The_Repeating_Room,ruins_labyrinth,The Repeating Room,1600.0|-1600.0|150.0,Enter,The same room four times. One of them has an extra door.,,,false
ruins_labyrinth__Buried_Bell,ruins_labyrinth,Buried Bell,-2200.0|-2200.0|50.0,Dig,Ringing it resets the maze layout for everyone in it.,,,true
ruins_labyrinth__Paint_Blaster_Cache,ruins_labyrinth,Paint Blaster Cache,2800.0|600.0|100.0,Open,Yields the Paint Blaster (Art class). Paint marks walls permanently.,,,false
ruins_labyrinth__The_Key_of_Stone,ruins_labyrinth,The Key of Stone,0.0|-3400.0|200.0,Take,"Third of the three CORE keys, at the maze's true centre.",The true centre is not the geometric centre.,,false
ruins_labyrinth__Exit_That_Moves,ruins_labyrinth,Exit That Moves,3400.0|-3400.0|150.0,Leave,It is never where you left it.,,,false
gravity_ring__Gravity_Dial,gravity_ring,Gravity Dial,0.0|-600.0|100.0,Turn,Sets local gravity between 0.1 and 2.0 for a whole ring segment.,,,true
gravity_ring__The_Drop,gravity_ring,The Drop,-1200.0|-1200.0|0.0,Step off,Falls forever unless someone changes the dial while you are falling.,,,true
gravity_ring__Anti_Grav_Boot_Locker,gravity_ring,Anti-Grav Boot Locker,1800.0|800.0|100.0,Open,Anti-Grav Boots — also the Gravity Arena minigame reward (Part II 41).,,,false
gravity_ring__Orbital_Tram,gravity_ring,Orbital Tram,2600.0|-1400.0|200.0,Board,Circles the ring. Stops are on the outside of the ring.,,,false
gravity_ring__The_Balance_Puzzle,gravity_ring,The Balance Puzzle,-2600.0|1600.0|400.0,Solve,"Two players on two plates, different masses, one bridge.",,,true
gravity_ring__Fallen_Climber,gravity_ring,Fallen Climber,3200.0|2400.0|100.0,Search,Their log describes a segment that is not on any map.,,,false
gravity_ring__Gravity_Gun_Vault,gravity_ring,Gravity Gun Vault,-3600.0|-2000.0|600.0,Open,Yields the Gravity Gun (Reality class).,,,false
gravity_ring__The_Inverted_Town,gravity_ring,The Inverted Town,0.0|-4400.0|3000.0,Enter,Built on the underside. The residents consider you upside-down.,,,false
gravity_ring__Ring_Fracture,gravity_ring,Ring Fracture,4400.0|-4000.0|800.0,Cross,A missing segment. Crossing it needs the dial and a running start.,,,false
the_arcade__Racer_s_Edge_Cabinet,the_arcade,Racer's Edge Cabinet,-800.0|6000.0|100.0,Enter,Minigame: Urban Velocity. Reward: 'Neon Rider' bike skin. Leaderboard on the marquee.,,,false
the_arcade__Vortex_Cabinet,the_arcade,Vortex Cabinet,800.0|4000.0|100.0,Enter,Minigame: our own 8-bit arena. Reward: Retro Artifact x1. All games original.,,,false
the_arcade__Gravity_Arena_Cabinet,the_arcade,Gravity Arena Cabinet,-800.0|2000.0|100.0,Enter,"Minigame: Float Fights, zero-g combat. Reward: Anti-Grav Boots.",,,false
the_arcade__Mystery_Vault_Cabinet,the_arcade,Mystery Vault Cabinet,800.0|-0.0|100.0,Enter,"Minigame: Decryptor 7, a cipher puzzle. Reward: holographic trailer decor.",,,false
the_arcade__Deathtrack_Cabinet,the_arcade,Deathtrack Cabinet,-800.0|-2000.0|100.0,Enter,Minigame: Neon Deathtrack race variant. Reward: vehicle cosmetics.,,,false
the_arcade__Crawl_Cabinet,the_arcade,Crawl Cabinet,800.0|-4000.0|100.0,Enter,Minigame: top-down co-op dungeon crawl. Reward: consumables and materials.,,,true
the_arcade__The_High_Score_Board,the_arcade,The High Score Board,0.0|-6000.0|400.0,Read,"Every minigame's top name and score, updated live.",,,true
the_arcade__Token_Machine,the_arcade,Token Machine,-1200.0|-5000.0|100.0,Exchange,Credits to event Tokens (Part II 38).,,,false
the_arcade__The_Cabinet_Nobody_Plays,the_arcade,The Cabinet Nobody Plays,1200.0|8000.0|100.0,Enter,"Unlabelled, unlit, in the corner.",Plays a game about a trailer and a machine. It knows your play history.,,false
the_arcade__Prize_Counter,the_arcade,Prize Counter,0.0|-7400.0|120.0,Redeem,Tickets for trailer decor and emotes.,,,true
the_arcade__Two_Player_Cabinet,the_arcade,Two-Player Cabinet,-1400.0|-800.0|100.0,Enter,Refuses to start with one player. Best rewards in the street.,,,true
the_arcade__Battle_Arena_Gate,the_arcade,Battle Arena Gate,2000.0|1000.0|200.0,Enter,"The street's one PvP zone. Opt-in, nothing at stake but the leaderboard.",,,false
crystal_shatter__The_Ringing_Floor,crystal_shatter,The Ringing Floor,0.0|-600.0|10.0,Walk,Each step is a note. Other players hear your route as music.,,,true
crystal_shatter__Fracture_Line,crystal_shatter,Fracture Line,-1400.0|-1000.0|50.0,Strike,Breaking it opens a path and closes another.,,,false
crystal_shatter__The_Tuning_Shard,crystal_shatter,The Tuning Shard,1200.0|1200.0|200.0,Take,"Held, it makes nearby crystal safe to touch.",,,false
crystal_shatter__Prism_Lock,crystal_shatter,Prism Lock,2200.0|-800.0|200.0,Align,"Three beams, three players, one door.",,,true
